,Dis No,Year,Seq,Glide,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,AID Contribution ('000 US$),Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),"Reconstruction Costs, Adjusted ('000 US$)",Insured Damages ('000 US$),"Insured Damages, Adjusted ('000 US$)",Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations
980,2003-0391-AUT,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Austria,AUT,Western Europe,Europe,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Steiernark, Salzburg, Tirol, Voralberg, Wien provinces",,Wildfire,Drought,,,,,,°C,,,,,2003,7.0,,2003,8.0,,345.0,,,,,,,,,280000.0,445445.0,62.8584595000413,1,478;479;480;481;482;483;484;485;486,,"Burgenland, Karnten, Niederosterreich, Oberosterreich, Salzburg, Steiermark, Tirol, Vorarlberg, Wien (Adm1). "
982,2003-0391-BEL,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Region de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest provinces",,Drought,,,,,,,°C,,,,,2003,8.0,1.0,2003,8.0,15.0,1175.0,,,,,,,,,,,62.8584595000413,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
987,2004-0333-ALB,2004,333,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Albania,ALB,Southern Europe,Europe,"Durres city (Durres district, Durres province)",,,,,,,,38.0,°C,,,,,2004,7.0,1.0,2004,7.0,,3.0,,,,,,,,,,,64.5413292817447,2,,3819,Durres (Adm2). 
996,2003-0391-DEU,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Germany,DEU,Western Europe,Europe,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Nierdersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen provinces",,Drought,,,,,,,°C,,,,,2003,8.0,,2003,8.0,,9355.0,,,,,,,10000.0,15909.0,1650000.0,2624945.0,62.8584595000413,1,1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320;1321;1322;1323,,"Baden-Wuerttemberg, Bayern, Berlin, Brandenburg, Bremen, Hamburg, Hessen, Mecklenburg-Vorpommern, Niedersachsen, Nordrhein-Westfalen, Rheinland-Pfalz, Saarland, Sachsen, Sachsen-Anhalt, Schleswig-Holstein, Thueringen (Adm1). "
997,2003-0391-ESP,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,Andaloucia province,,Drought,,,,,,40.0,°C,,,,,2003,8.0,1.0,2003,8.0,11.0,15090.0,,,,,,,,,880000.0,1399971.0,62.8584595000413,1,2716,,Andalucía (Adm1). 
998,2003-0391-FRA,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,Drought,,,,,,43.0,°C,,,,,2003,8.0,1.0,2003,8.0,20.0,19490.0,,,,,,,,,4400000.0,6999853.0,62.8584595000413,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). "
999,2003-0391-HRV,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Croatia,HRV,Southern Europe,Europe,"Bjelovar-bilogora, Dubrovnik-Neretva, Grad Zagreb, Istra, Karlovac, Koprivnica-krizevci, Krapina-zagorje, Lika-senj, Medimurje, Osijek-baranja, Pozega-slavonija, Primorje-gorski Kota, Šibenik, Sisak-moslavina, Slavonski Brod-posav, Split-dalmatija, Varazdin, Virovitica-podravina, Vukovar-srijem, Zadar-Knin, Zagreb provinces",,Drought,,,,,,,°C,,,,,2003,7.0,,2003,7.0,,788.0,,,,,,,,,,,62.8584595000413,1,988;989;990;991;992;993;994;995;996;997;998;999;1000;1001;1002;1003;1004;1005;1006;1007;1008,,"Bjelovar-bilogora, Dubrovnik-neretva, Grad Zagreb, Istra, Karlovac, Koprivnica-krizevci, Krapina-zagorje, Lika-senj, Medimurje, Osijek-baranja, Pozega-slavonija, Primorje-gorski Kota, Sibenik, Sisak-moslavina, Slavonski Brod-posav, Split-dalmatija, Varazdin, Virovitica-podravina, Vukovar-srijem, Zadar-knin, Zagreb (Adm1). "
1000,2003-0391-ITA,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Italy,ITA,Southern Europe,Europe,"Milano, Varese districts (Lombardia province), Torino district (Piemonte province), Firenze district (Toscana province), Lecce district (Puglia province), Genova district (Liguria province)",,Drought,,,,,,,°C,,,,,2003,7.0,16.0,2003,8.0,15.0,20089.0,,,,,,,,,4400000.0,6999853.0,62.8584595000413,2,,18352;18363;18366;18378;18384;18400,"Firenze, Genova, Lecce, Milano, Torino, Varese (Adm2). "
1006,2003-0391-GBR,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,United Kingdom of Great Britain and Northern Ireland (the),GBR,Northern Europe,Europe,"England, Wales provinces",,,,,,,,,°C,,,,,2003,7.0,,2003,7.0,,301.0,,,,,,,,,,,62.8584595000413,1,3182;3186,,"England, Wales (Adm1). "
1019,2004-0361-ESP,2004,361,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia provinces",,,,,,,,,°C,,,,,2004,7.0,26.0,2004,7.0,30.0,26.0,,,,,,,,,,,64.5413292817447,1,2716;2723;2726;2727;2729;2731,,"Andalucía, Castilla-La Mancha, Comunidad de Madrid, Comunitat Valenciana, Extremadura, Región de Murcia (Adm1). "
1046,2003-0391-NLD,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Netherlands (the),NLD,Western Europe,Europe,"Drenthe, Flevoland, Friesland, Gelderland, Groninge, Limburg, Noord-brabant, Noord-holland,Overijssel, Utrecht, Zeeland, Zuit-holland provinces",,,,,,,,,°C,,,,,2003,7.0,31.0,2003,8.0,13.0,965.0,,,,,,,,,,,62.8584595000413,1,2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169,,"Drenthe, Flevoland, Friesland, Gelderland, Groningen, Limburg, Noord-brabant, Noord-holland, Overijssel, Utrecht, Zeeland, Zuid-holland (Adm1). "
1047,2003-0391-PRT,2003,391,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Portugal,PRT,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guadra, Leiria, Lisboa, Portoalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu provinces",,,,,,,,,°C,,,,,2003,7.0,30.0,2003,8.0,15.0,2696.0,,,,,,,,,,,62.8584595000413,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). "
1065,2004-0333-ROU,2004,333,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Romania,ROU,Eastern Europe,Europe,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Boj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea provinces",,,,,,,,38.0,°C,,,,,2004,7.0,1.0,2004,7.0,,27.0,,,,,,,,,,,64.5413292817447,1,2446;2447;2448;2449;2450;2451;2452;2453;2454;2455;2456;2457;2458;2459;2460;2461;2462;2463;2464;2465;2466;2467;2468;2469;2470;2471;2472;2473;2474;2475;2476;2477;2478;2479;2480;2481;2482;2483;2484;2485;2486,,"Alba, Arad, Arges, Bacau, Bihor, Bistrita-nasaud, Botosani, Braila, Brasov, Bucuresti, Buzau, Calarasi, Caras-severin, Cluj, Constanta, Covasna, Dimbovita, Dolj, Galati, Giurgiu, Gorj, Harghita, Hunedoara, Ialomita, Iasi, Maramures, Mehedinti, Mures, Neamt, Olt, Prahova, Salaj, Satu Mare, Sibiu, Suceava, Teleorman, Timis, Tulcea, Vaslui, Vilcea, Vrancea (Adm1). "
1142,2006-0383-BEL,2006,383,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Belgium,BEL,Western Europe,Europe,"Vlaams Geweest, Region de bruxelles-Capitale/Brussels Hoofdstedelijk Gewes, Region wallonne",,,,,,,,,°C,,,,,2006,6.0,,2006,7.0,,940.0,,,,,,,,,,,68.8837587123464,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). "
1149,2006-0383-DEU,2006,383,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Germany,DEU,Western Europe,Europe,"Dresden city (Dresden district, Sachsen province), Brombach lake (Mittelfranken district, Bayern province)",,,,,,,,,°C,,,,,2006,7.0,15.0,2006,7.0,23.0,2.0,,,,,,,,,,,68.8837587123464,2,,16530;16560,"Dresden, Mittelfranken (Adm2). "
1152,2006-0383-ESP,2006,383,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Spain,ESP,Southern Europe,Europe,"Cataluña/Catalunya, Comunitat Valenciana provinces",,,,,,,,40.0,°C,,,,,2006,7.0,15.0,2006,8.0,4.0,21.0,,,,,,,,,,,68.8837587123464,1,2724;2726,,"Cataluña/Catalunya, Comunitat Valenciana (Adm1). "
1154,2006-0383-FRA,2006,383,,Natural,Meteorological,Extreme temperature ,Heat wave,,,France,FRA,Western Europe,Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,,,,,,,37.0,°C,,,,,2006,7.0,15.0,2006,7.0,23.0,1388.0,,,,,,,,,,,68.8837587123464,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). "
1184,2005-0820-PRT,2005,820,,Natural,Meteorological,Extreme temperature ,Heat wave,,,Portugal,PRT,Southern Europe,Europe,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu",,,,,,,,,°C,,,,,2005,6.0,,2005,8.0,,462.0,,,,,,,,,,,66.7310579862028,1,2386;2387;2388;2389;2390;2391;2392;2393;2394;2405;2406;2407;2408;2409;2410;2411;2412;2413,,"Aveiro, Beja, Braga, Braganca, Castelo Branco, Coimbra, Evora, Faro, Guarda, Leiria, Lisboa, Portalegre, Porto, Santarem, Setubal, Viana Do Castelo, Vila Real, Viseu (Adm1). "
