DATAFLOW,LAST UPDATE,freq,levels,deg_urb,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,CZ,2014,52.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,DE,2014,61.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,DK,2014,52.8,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,EE,2014,51.4,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,EL,2014,37.6,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,ES,2014,80.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,EU27_2020,2014,57.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,EU28,2014,56.2,e
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,FI,2014,68.7,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,FR,2014,39.2,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,HR,2014,43.0,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,HU,2014,52.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,IE,2014,43.5,
ESTAT:HLTH_EHIS_PE1U(1.0),28/11/22 11:00:00,A,NONE_LGHT,TOTAL,T,TOTAL,PC,IS,2014,52.7,
