DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2011,19.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2012,19.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2013,20.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2014,20.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2015,20.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2016,21.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2017,21.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2018,21.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2019,22.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2020,22.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2021,22.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EL,2022,22.7,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2011,17.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2012,17.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2013,17.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2014,18.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2015,18.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2016,18.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2017,19.0,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2018,19.2,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2019,19.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2020,19.6,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2021,19.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,ES,2022,20.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2011,17.8,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2012,18.0,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2013,18.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2014,18.7,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2015,19.0,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2016,19.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2017,19.7,b
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2018,20.0,p
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2019,20.2,bep
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2020,20.6,ep
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2021,20.9,bep
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,EU27_2020,2022,21.1,bep
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2011,17.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2012,18.1,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2013,18.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2014,19.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2015,19.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2016,20.5,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2017,20.9,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2018,21.4,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2019,21.8,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2020,22.3,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2021,22.7,
ESTAT:TPS00028(1.0),03/07/23 23:00:00,A,PC_Y65_MAX,FI,2022,23.1,
