,Dis No,Year,Seq,Country,ISO,Region,Location,Associated Dis,Dis Mag Value,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI,Adm Level,Admin1 Code,Admin2 Code,Geo Locations,Start Date,End Date,Duration,poverty,housing_deprive,forest,elder,population,gdp,unemployment,child_population,disabled,Start_Date,End_Date,Days_over_30,Max_temp,month_length
24,2007-0235-SVK,2007,235,Slovakia,SVK,Eastern Europe,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna provinces",,40.0,2007,7.0,15.0,2007,7.0,22.0,1.0,89.0,89.0,,,70.848792703253,1,2667;2668;2669;2670;2671;2672;2673;2674,,"Banska Bystrica, Bratislava, Kosice, Nitra, Presov, Trencin, Trnava, Zilna (Adm1). ",2007-07-15,2007-07-22,7.0,16.5,3.2,48.6,17.4,5434712.0,16300.0,4.1,872796.0,814.1,2007-07-01,2007-07-31,11.0,36.9,0.0
25,2011-0329-ITA,2011,329,Italy,ITA,Southern Europe,"Milano district (Lombardia province), Torino district (Piemonte province), Trieste district (Friuli-venezia Giulia province), Verona district (Veneto province), Messina district (Sicilia province), Roma district (Lazio province), Napoli district (Campania province)",,47.0,2011,8.0,17.0,2011,8.0,24.0,10.0,,,,,76.8615953778198,2,,18332;18345;18350;18363;18378;18394;18419,"Messina, Milano, Napoli, Roma, Torino, Trieste, Verona (Adm2). ",2011-08-17,2011-08-24,7.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2011-08-01,2011-08-31,15.0,36.1,0.0
27,2015-0410-BEL,2015,410,Belgium,BEL,Western Europe,"Vlaams Gewest, Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne provinces",,,2015,6.0,30.0,2015,7.0,5.0,410.0,,,,,80.9885789905908,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2015-06-30,2015-07-05,5.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2015-06-01,2015-06-30,1.0,30.9,1.0
28,2015-0410-FRA,2015,410,France,FRA,Western Europe,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Compte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Côte-D'azur, Rhône-Alpes, Midi-Pyrénées provinces",,40.0,2015,6.0,29.0,2015,8.0,9.0,3275.0,,,,,80.9885789905908,1,1248;1249;1250;1251;1252;1253;1254;1255;1256;1257;1258;1259;1260;1262;1263;1264;1265;1266;1267;1268;1269;1270,,"Alsace, Aquitaine, Auvergne, Basse-Normandie, Bourgogne, Bretagne, Centre, Champagne-Ardenne, Corse, Franche-Comte, Haute-Normandie, Ile-de-France, Languedoc-Rousillon, Limousin, Lorraine, Midi-Pyrenees, Nord-Pas-de-Calais, Pays-de-la-Loire, Picardie, Poitou-Charentes, Provence-Alpes-Cote-d'Azur, Rhone-Alpes (Adm1). ",2015-06-29,2015-08-09,41.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2015-06-01,2015-06-30,2.0,30.8,2.0
29,2018-0235-ESP,2018,235,Spain,ESP,Southern Europe,,,47.0,2018,8.0,,2018,8.0,,9.0,,,,,85.8030260572654,,,,,,,,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2018-08-01,2018-08-31,30.0,40.6,0.0
30,2019-0296-BEL,2019,296,Belgium,BEL,Western Europe,,,35.0,2019,6.0,21.0,2020,7.0,1.0,128.0,,,,,87.3580067738847,1,600;601;602,,"Region de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewes, Region wallonne, Vlaams Gewest (Adm1). ",2019-06-21,2020-07-01,376.0,18.7,2.3,24.3,19.5,11617623.0,36860.0,2.3,1931651.0,1553.4,2019-06-01,2019-06-30,3.0,32.2,1.0
31,2019-0296-DEU,2019,296,Germany,DEU,Western Europe,,,39.0,2019,6.0,24.0,2019,6.0,30.0,4.0,,,,,87.3580067738847,1,1308,,Baden-Wuerttemberg (Adm1). ,2019-06-24,2019-06-30,6.0,20.9,1.2,32.4,22.1,83237124.0,36010.0,1.0,11606935.0,14783.8,2019-06-01,2019-06-30,9.0,36.1,0.0
32,2019-0296-ESP,2019,296,Spain,ESP,Southern Europe,"Cordoba, Valladolid",,,2019,6.0,26.0,2019,6.0,30.0,2.0,,,,,87.3580067738847,2,,25778;25799,"C??rdoba, Valladolid (Adm2). ",2019-06-26,2019-06-30,4.0,26.0,3.4,41.2,20.1,47432893.0,24580.0,5.0,6627937.0,6551.1,2019-06-01,2019-06-30,12.0,40.6,0.0
33,2019-0296-FRA,2019,296,France,FRA,Western Europe,"Vaucluse, Bouches-du-Rhône, Hérault, Gard",,46.0,2019,6.0,24.0,2019,7.0,7.0,567.0,,,,,87.3580067738847,2,,16287,Herault (Adm2). ,2019-06-24,2019-07-07,13.0,21.0,3.8,32.8,21.0,67871925.0,33180.0,2.0,11877137.0,6805.4,2019-06-01,2019-06-30,7.0,34.0,1.0
35,2019-0296-ITA,2019,296,Italy,ITA,Southern Europe,"Marche Region, Veneto Region, Milan",,,2019,6.0,26.0,2019,6.0,30.0,3.0,,,,,87.3580067738847,1;2,1625;1635,18363,"Marche, Veneto (Adm1). Milano (Adm2). ",2019-06-26,2019-06-30,4.0,24.4,6.1,37.0,23.8,59030133.0,27860.0,4.6,7489795.0,7399.5,2019-06-01,2019-06-30,14.0,35.7,0.0
